,date,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset
0,2015-01-01,1420070400,53.3,41.3,47.7,53.3,41.3,47.7,43.5,85.34,0.01,,4.17,,,,37.2,0.1,209.3,1027.8,0.6,6.0,,,,08:06:16,1420099576,16:01:49,1420128109,0.43,Rain,Clear conditions throughout the day with morning rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
1,2015-01-02,1420156800,54.8,41.1,48.1,54.8,41.1,48.1,38.5,69.99,0.04,,4.17,,,,37.5,0.1,259.8,1028.9,0.3,17.4,,,,08:06:09,1420185969,16:02:53,1420214573,0.46,Rain,Clear conditions throughout the day with early morning rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
2,2015-01-03,1420243200,43.9,36.6,41.1,43.9,36.6,41.1,37.4,86.73,0.51,,12.5,,,,28.9,0.1,170.3,1024.0,0.6,7.7,,,,08:05:59,1420272359,16:03:59,1420301039,0.49,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
3,2015-01-04,1420329600,38.6,32.3,35.8,38.6,32.3,35.8,34.0,93.34,0.01,,8.33,,,,,0.0,211.6,1035.3,0.4,1.7,,,,08:05:46,1420358746,16:05:09,1420387509,0.5,Rain,Clear conditions throughout the day with afternoon rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
4,2015-01-05,1420416000,49.7,40.2,45.8,49.7,40.2,45.8,40.4,81.42,0.0,,0.0,,,,,0.1,191.7,1029.2,0.6,9.4,,,,08:05:29,1420445129,16:06:20,1420473980,0.5,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
5,2015-01-06,1420502400,51.0,37.5,45.6,51.0,37.5,45.6,39.6,79.6,0.08,,12.5,,,,31.4,0.1,227.1,1021.4,0.4,18.0,,,,08:05:09,1420531509,16:07:34,1420560454,0.51,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
6,2015-01-07,1420588800,50.3,35.0,43.9,50.3,35.0,43.9,38.6,81.97,0.01,,8.33,,,,35.8,0.1,209.5,1023.8,0.4,14.1,,,,08:04:46,1420617886,16:08:51,1420646931,0.53,Rain,Clear conditions throughout the day with afternoon rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
7,2015-01-08,1420675200,52.4,44.7,48.6,52.4,44.7,48.6,43.5,82.83,0.53,,8.33,,,,32.2,0.1,247.9,1021.0,0.4,12.1,,,,08:04:20,1420704260,16:10:09,1420733409,0.55,Rain,Clear conditions throughout the day with rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
8,2015-01-09,1420761600,60.0,48.3,54.0,60.0,48.3,54.0,46.8,76.93,0.04,,4.17,,,,48.9,0.2,247.3,1018.0,0.5,16.4,,,,08:03:50,1420790630,16:11:30,1420819890,0.59,Rain,Clear conditions throughout the day with morning rain.,rain,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
9,2015-01-10,1420848000,57.3,40.2,50.7,57.3,40.2,50.7,40.6,69.0,0.03,,8.33,,,,48.8,0.2,261.9,1014.8,0.4,19.3,,,,08:03:17,1420876997,16:12:53,1420906373,0.62,Rain,Clear conditions throughout the day with afternoon rain.,rain,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
10,2015-01-11,1420934400,47.6,38.6,43.1,47.6,38.6,43.2,33.9,69.92,0.0,,4.17,,,,34.4,0.1,254.6,1022.1,0.2,20.5,,,,08:02:41,1420963361,16:14:18,1420992858,0.66,Clear,Clear conditions throughout the day.,clear-day,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
11,2015-01-12,1421020800,53.3,46.7,50.7,53.3,46.7,50.7,44.6,79.89,0.13,,12.5,,,,38.8,0.1,229.0,1010.6,0.5,11.9,,,,08:02:02,1421049722,16:15:45,1421079345,0.71,Rain,Clear conditions throughout the day with rain.,rain,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
12,2015-01-13,1421107200,53.0,39.5,46.8,53.0,39.5,46.8,40.7,79.32,0.45,,16.67,,,,43.4,0.1,237.3,1002.5,0.4,18.4,,,,08:01:20,1421136080,16:17:14,1421165834,0.76,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
13,2015-01-14,1421193600,48.8,37.7,42.4,48.8,37.7,42.5,33.5,70.74,0.01,,8.33,,,,43.7,0.2,226.0,1004.2,0.3,22.0,,,,08:00:35,1421222435,16:18:45,1421252325,0.81,Rain,Clear conditions throughout the day with early morning rain.,rain,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
14,2015-01-15,1421280000,51.5,42.5,47.1,51.5,42.5,47.1,38.0,71.16,0.25,,12.5,,,,45.6,0.2,228.9,990.9,0.3,14.7,,,,07:59:47,1421308787,16:20:17,1421338817,0.86,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
15,2015-01-16,1421366400,43.9,34.4,41.4,43.9,34.4,41.4,32.0,69.69,0.03,,4.17,,,,34.4,0.1,256.6,1004.4,0.2,19.3,,,,07:58:56,1421395136,16:21:51,1421425311,0.9,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
16,2015-01-17,1421452800,43.4,31.4,37.5,43.4,31.4,37.6,31.0,77.35,0.02,,4.17,,,,,0.1,225.1,1012.8,0.2,18.9,,,,07:58:02,1421481482,16:23:26,1421511806,0.94,Rain,Clear conditions throughout the day with afternoon rain.,rain,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
17,2015-01-18,1421539200,40.4,35.3,38.5,40.4,35.3,38.5,33.2,81.46,0.03,,8.33,,,,,0.0,258.4,1012.1,0.3,9.2,,,,07:57:05,1421567825,16:25:03,1421598303,0.98,Rain,Clear conditions throughout the day with morning rain.,rain,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
18,2015-01-19,1421625600,40.7,32.1,36.4,40.7,32.1,36.4,29.6,76.8,0.01,,8.33,,,,,0.0,295.5,1014.2,0.4,11.4,,,,07:56:06,1421654166,16:26:41,1421684801,1.0,Rain,Clear conditions throughout the day with morning rain.,rain,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
19,2015-01-20,1421712000,40.7,27.8,35.0,40.7,27.8,35.1,29.4,80.63,0.0,,4.17,,,,,0.1,152.3,1010.2,0.3,11.5,,,,07:55:03,1421740503,16:28:20,1421771300,1.0,Clear,Clear conditions throughout the day.,clear-day,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
20,2015-01-21,1421798400,39.3,37.7,38.2,39.3,37.7,38.2,32.6,80.25,0.0,,16.67,,,,21.9,0.1,115.2,1007.7,0.6,6.8,,,,07:53:58,1421826838,16:30:01,1421857801,0.01,Clear,Clear conditions throughout the day.,clear-day,"['03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
21,2015-01-22,1421884800,40.7,33.5,37.5,40.7,33.5,37.5,29.0,71.59,0.0,,4.17,,,,,0.0,66.1,1020.2,0.3,4.9,,,,07:52:51,1421913171,16:31:42,1421944302,0.03,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
22,2015-01-23,1421971200,44.7,27.2,35.5,44.7,27.2,35.5,30.2,81.68,0.0,,4.17,,,,,0.1,233.0,1024.6,0.2,4.7,,,,07:51:41,1421999501,16:33:25,1422030805,0.06,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs,
